date,theta,kappa,sigma,rho,v0
2019-01-02,0.051245,15.157185,1.246378,-0.819975,0.046392
2019-01-03,0.058911,3.048216,0.599288,-0.927121,0.054061
2019-01-04,0.076095,3.103832,0.687293,-0.818355,0.035742
2019-01-07,0.077343,3.011296,0.682501,-0.850875,0.034410
2019-01-08,0.081219,2.942282,0.691331,-0.858655,0.030221
2019-01-09,0.080110,2.898947,0.681522,-0.892564,0.028242
2019-01-10,0.052042,9.000901,0.967910,-0.838310,0.025096
2019-01-11,0.087579,2.851068,0.706673,-0.854937,0.020890
2019-01-14,0.044589,10.757519,0.979452,-0.865845,0.022494
2019-01-15,0.073042,2.912931,0.652327,-0.905541,0.020809
2019-01-16,0.077794,2.885849,0.670077,-0.918463,0.019727
2019-01-17,0.076831,2.885304,0.665855,-0.881510,0.018338
2019-01-18,0.069332,2.935465,0.638000,-0.865770,0.018032
2019-01-22,0.040052,14.826136,1.089783,-0.944117,0.033816
2019-01-23,0.039823,12.812093,1.010162,-0.927484,0.029867
2019-01-24,0.040209,10.941727,0.938034,-0.917467,0.022888
2019-01-28,0.062641,2.962147,0.609183,-0.966891,0.026138
2019-01-29,0.038291,11.418949,0.935135,-0.907445,0.029627
2019-01-30,0.047889,4.698130,0.670802,-0.861802,0.020614
2019-01-31,0.055129,2.999000,0.575033,-0.874225,0.017688
2019-02-04,0.057489,3.055530,0.592723,-0.844501,0.013731
2019-02-05,0.055655,3.068053,0.584387,-0.831486,0.013797
2019-02-06,0.039529,6.386049,0.710544,-0.828679,0.012952
2019-02-07,0.057842,2.992641,0.588386,-0.913700,0.016158
2019-02-08,0.058041,3.010902,0.591193,-0.701337,0.014324
2019-02-12,0.047102,3.116115,0.541802,-0.839276,0.014532
2019-02-13,0.049426,3.053619,0.549417,-0.825099,0.014638
2019-02-14,0.051761,3.096227,0.566153,-0.855496,0.015956
2019-02-15,0.032205,7.703039,0.704377,-0.819511,0.012163
2019-02-19,0.043109,3.162915,0.522205,-0.917001,0.013937
2019-02-20,0.042953,3.154063,0.520529,-0.891285,0.012370
2019-02-21,0.026189,8.341432,0.660996,-0.903926,0.013658
2019-02-22,0.040228,3.166498,0.504742,-0.879223,0.011158
2019-02-25,0.035255,3.303501,0.482628,-0.919849,0.013607
2019-02-26,0.024986,9.553776,0.690952,-0.919711,0.014190
2019-02-27,0.029354,6.134387,0.600110,-0.938714,0.012964
2019-03-04,0.024445,8.744018,0.653833,-0.963693,0.013107
2019-03-06,0.023812,11.097497,0.726981,-0.983611,0.017288
2019-03-08,0.027139,10.945333,0.770768,-0.954354,0.018765
2019-03-11,0.025980,7.647261,0.630355,-0.906611,0.013351
2019-03-12,0.025772,6.818557,0.592834,-0.901539,0.012158
2019-03-13,0.023105,7.828384,0.601457,-0.879086,0.011458
2019-03-14,0.036540,3.194376,0.483160,-0.879444,0.010887
2019-03-15,0.037794,3.284040,0.498228,-0.767349,0.009303
2019-03-18,0.035972,3.196938,0.479587,-0.879292,0.011108
2019-03-19,0.032334,3.230967,0.457102,-0.891637,0.012688
2019-03-20,0.036360,3.203869,0.482683,-0.903866,0.012717
2019-03-21,0.027947,4.867145,0.521582,-0.861939,0.012953
2019-03-22,0.024509,14.908730,0.854864,-0.933820,0.026578
2019-03-25,0.028744,6.980847,0.633491,-0.908940,0.023119
2019-03-26,0.042438,3.059985,0.509624,-0.943025,0.016078
2019-03-27,0.043462,3.066745,0.516310,-0.954717,0.017422
2019-03-28,0.045030,3.059776,0.524943,-0.928902,0.014662
2019-03-29,0.046941,3.139281,0.542882,-0.887481,0.011371
2019-04-01,0.042537,3.152466,0.517872,-0.910811,0.010571
2019-04-02,0.047124,3.087363,0.539423,-0.862632,0.009303
2019-04-03,0.042311,3.355396,0.532858,-0.922227,0.010545
2019-04-04,0.037923,4.098138,0.557520,-0.918548,0.010463
